날짜,회차,화자,메시지,TMSSR,Potential
2025-09-18,1,교사,'또는'이랑 '그리고'는 어떤 차이가 있는데?,Eliciting,High
2025-09-18,1,학생,"위 명제에서 '또는'은 a,b 둘 중 적어도 하나는 0이여 한다에요.",-,-
2025-09-18,1,교사,'그리고'는?,Eliciting,Low
2025-09-18,1,학생,"'그리고'는 a,b 두개 모두 다 0이여한다에요.",-,-
2025-09-18,1,교사,그러면 교과서 앞쪽 부분에 있는 대우에 관해서 읽어보고 다시 한번 생각해볼래?,Facilitating,High
2025-09-18,1,학생,넵!,-,-
2025-09-18,2,교사,'또는'이랑 '그리고'는 어떤 차이가 있는데?,Eliciting,High
2025-09-18,2,학생,"위 명제에서 '또는'은 a,b 둘 중 적어도 하나는 0이여 한다에요.",-,-
2025-09-18,2,교사,'그리고'는?,Eliciting,Low
2025-09-18,2,학생,"'그리고'는 a,b 두개 모두 다 0이여한다에요.",-,-
2025-09-18,2,교사,그러면 교과서 앞쪽 부분에 있는 대우에 관해서 읽어보고 다시 한번 생각해볼래?,Facilitating,High
2025-09-18,2,학생,넵!,-,-
2025-09-18,2,교사,한번 읽어봤어?,Eliciting,Low
2025-09-18,2,학생,넵 교과서에는 대우란 가정과 결론을 바꾸고 둘 다 부정을 한 것 이라고 나와있어요. 그런데 위 명제에서는 어떻게 써야할지 모르겠어요..,-,-
2025-09-18,2,교사,대우가 가정과 결론을 바꾸고 둘 다 부정한거라 했잖아? 그럼 하나하나 순서대로 해보자 가정과 결론부터 바꿔볼래?,Facilitating,High
2025-09-18,2,학생,"ab=0이면, a=0 또는 b=0이다",-,-
2025-09-18,2,교사,"잘했어, 그럼 둘다 부정을 해보자. 우선 결론부터 부정해볼래?",Facilitating,High
2025-09-18,2,학생,결론이 ab=0이니까 부정은 ab≠0이에요,-,-
2025-09-18,2,교사,그럼 가정을 부정해볼래?,Facilitating,High
2025-09-18,2,학생,a≠0 또는 b≠0..?,-,-
2025-09-18,3,교사,'또는'이랑 '그리고'는 어떤 차이가 있는데?,Eliciting,High
2025-09-18,3,학생,"위 명제에서 '또는'은 a,b 둘 중 적어도 하나는 0이여 한다에요.",-,-
2025-09-18,3,교사,'그리고'는?,Eliciting,Low
2025-09-18,3,학생,"'그리고'는 a,b 두개 모두 다 0이여한다에요.",-,-
2025-09-18,3,교사,그러면 교과서 앞쪽 부분에 있는 대우에 관해서 읽어보고 다시 한번 생각해볼래?,Facilitating,High
2025-09-18,3,학생,넵!,-,-
2025-09-18,3,교사,한번 읽어봤어?,Eliciting,Low
2025-09-18,3,학생,넵 교과서에는 대우란 가정과 결론을 바꾸고 둘 다 부정을 한 것 이라고 나와있어요. 그런데 위 명제에서는 어떻게 써야할지 모르겠어요..,-,-
2025-09-18,3,교사,대우가 가정과 결론을 바꾸고 둘 다 부정한거라 했잖아? 그럼 하나하나 순서대로 해보자 가정과 결론부터 바꿔볼래?,Facilitating,High
2025-09-18,3,학생,"ab=0이면, a=0 또는 b=0이다",-,-
2025-09-18,3,교사,"잘했어, 그럼 둘다 부정을 해보자. 우선 결론부터 부정해볼래?",Facilitating,High
2025-09-18,3,학생,결론이 ab=0이니까 부정은 ab≠0이에요,-,-
2025-09-18,3,교사,그럼 가정을 부정해볼래?,Facilitating,High
2025-09-18,3,학생,a≠0 또는 b≠0..?,-,-
2025-09-18,3,교사,너는 또는과 그리고의 차이를 알고 있잖아?,Responding,Low
2025-09-18,3,학생,네,-,-
2025-09-25,1,교사,'또는'이랑 '그리고'는 어떤 차이가 있는데?,Eliciting,High
2025-09-25,1,학생,"위 명제에서 '또는'은 a,b 둘 중 적어도 하나는 0이여 한다에요.",-,-
2025-09-25,1,교사,'그리고'는?,Eliciting,Low
2025-09-25,1,학생,"'그리고'는 a,b 두개 모두 다 0이여한다에요.",-,-
2025-09-25,1,교사,그러면 교과서 앞쪽 부분에 있는 대우에 관해서 읽어보고 다시 한번 생각해볼래?,Facilitating,High
2025-09-25,1,학생,넵!,-,-
