날짜,회차,화자,메시지,TMSSR,Potential
2025-09-11,1,교사,"아니, 약수가 왜 이렇게 나왔는지 너의 생각이 궁금해. 그럼 18은 약수가 어떻게 돼?",Eliciting,High
2025-09-11,1,학생,소인수분해로...,-,-
2025-09-11,1,교사,소인수분해로 어떻게?,Eliciting,High
2025-09-11,1,학생,소인수분해를 하니까 2X9로 나와요.,-,-
2025-09-11,1,교사,"음, 그러면 약수의 개수를 구하는 방법에 대해서 설명해줄래?(다른 학생에게 순회지도를 하러 떠난다.)",Eliciting,High
2025-09-11,1,교사,(다시 돌아와서)어때? 정리가 됐니?,Responding,Low
2025-09-11,1,학생,"네, 120의 인수가 2,3,5가 나오는데, 각각의 거듭제곱을 미지수로 둬서 2는 0부터 3까지, 3이랑 5는 0부터 1까지 해서 각각 대입하면 저렇게 나와요.",-,-
2025-09-11,1,교사,"음, 맞아. 그러면 이번에는 8을 이용해서 약수의 개수를 구하는 방법에 대해 설명해줄래?(다시 떠난다.)",Eliciting,High
2025-09-11,2,교사,"아니야, 근데 너가 120의 약수들을 어떻게 구했는지 설명해줄 수 있어?",Eliciting,High
2025-09-11,2,학생,1부터 시작해서 120으로 나누어 떨어지는 수들 중에 120보다 작은 수들만 적었어요.,-,-
2025-09-11,2,교사,"아, 너는 나누어 떨어지는 수들로 나열했구나. 그러면 이번에는 20의 약수들을 구하는데 다른 방법으로 구해볼래?(떠난다.)",Facilitating,High
2025-09-11,2,교사,(다시 돌아와서) 생각해봤어?,Responding,Low
2025-09-11,2,학생,생각해봤는데 잘 모르겠어요...,-,-
2025-09-11,2,교사,우리 저번시간에 소인수분해 배우지 않았어? 한 번 생각해볼래?(다시 떠난다.),Facilitating,High
2025-09-11,2,교사,(돌아와서) 어때?,Responding,Low
2025-09-11,2,학생,"아, 소인수분해로 약수의 개수를 구했어요. 20을 소인수분해 하니까 2^2X5로 나와서 약수가 1,2,4,5,10,20으로 나왔어요.",-,-
2025-09-11,2,교사,그럼 소인수분해로 20의 약수의 개수를 알 수 있지?,Responding,Low
2025-09-11,2,학생,"네, 6개예요.",-,-
2025-09-11,2,교사,그럼 이번에는 120을 소인수분해로 해서 120의 약수들을 다시 구해볼래?(떠난다.),Facilitating,High
2025-09-11,2,교사,(다시 돌아와서) 구해봤어? 소인수분해로 구해보니까 어때?,Eliciting,High
2025-09-11,2,학생,"네, 이번에 구해봤는데 제가 아까 구했던 거랑 똑같이 나왔어요.",-,-
2025-09-11,2,교사,"그랬구나, 너가 전에 구했던 방법이랑 어떤 차이가 있었어?",Extending,High
2025-09-11,2,학생,"훨씬 더 편하고, 구하기도 쉬웠어요.",-,-
